X	Y	Dz	Depth
4.23	-0.023	0.00243	0.0304
4.231	-0.018	0.00253	0.0303
4.231	-0.013	0.00243	0.0304
4.232	-0.008	0.00153	0.0296
4.233	-0.003	0.00183	0.0293
4.233	0.002	0.00183	0.0293
4.234	0.007	0.00133	0.0298
4.234	0.012	0.00243	0.0287
4.235	0.017	0.00253	0.0286
4.236	0.022	0.00233	0.0288
4.236	0.027	0.00283	0.0283
4.237	0.032	0.00303	0.029
4.238	0.037	0.00373	0.0283
4.238	0.042	0.00393	0.0281
4.239	0.047	0.00503	0.027
4.239	0.052	0.00673	0.0253
4.24	0.057	0.00683	0.0252
4.241	0.062	0.00713	0.0249
4.241	0.067	0.00723	0.0248
4.242	0.072	0.00763	0.0236
4.242	0.076	0.00863	0.0226
4.243	0.081	0.00883	0.0224
4.244	0.086	0.00923	0.022
4.244	0.091	0.00973	0.0215
4.245	0.096	0.01103	0.0202
4.246	0.101	0.01063	0.0206
4.246	0.106	0.01203	0.0192
4.247	0.111	0.01053	0.0215
4.247	0.116	0.01023	0.0218
4.248	0.121	0.01143	0.0206
4.249	0.126	0.01153	0.0205
4.249	0.131	0.01263	0.0194
4.25	0.136	0.01283	0.0192
4.251	0.141	0.01373	0.0183
4.251	0.146	0.01413	0.0179
4.252	0.151	0.01483	0.0191
4.252	0.156	0.01483	0.0191
4.253	0.161	0.01483	0.0191
4.423	-0.15	-0.04107	0.0765
4.423	-0.145	-0.04107	0.0765
4.423	-0.14	-0.04107	0.0765
4.423	-0.135	-0.04057	0.076
4.423	-0.13	-0.03897	0.0744
4.423	-0.125	-0.03697	0.0724
4.423	-0.12	-0.03417	0.0696
4.423	-0.115	-0.03127	0.0667
4.423	-0.11	-0.02807	0.0635
4.423	-0.105	-0.02557	0.061
4.423	-0.1	-0.02197	0.056
4.423	-0.095	-0.01857	0.0526
4.423	-0.09	-0.01557	0.0496
4.423	-0.085	-0.01297	0.047
4.423	-0.08	-0.01097	0.045
4.423	-0.075	-0.01097	0.045
